run_type,head,term,SS,df,F,p_value,eta_sq,partial_eta_sq
ensemble,head2,Model (total),88.47062983150181,30.0,53.2882323583429,2.593826241884678e-260,0.308342492703788,0.308342492703788
flipout,head1,diagnosis_1,0.008818011106143038,1.0,0.26299773216346317,0.6080997000838242,4.8367252524166873e-05,7.333475886452679e-05
flipout,head1,diagnosis_2,8.677292033889488,4.0,64.70019426044942,6.648133078057455e-53,0.047595401046466604,0.06731188221432889
flipout,head1,diagnosis_confirm_type,47.84344409899542,4.0,356.73342734166874,7.245969894876521e-259,0.26242379540097127,0.2846504247004996
flipout,head1,attribution,3.066963268909542,10.0,9.147237110984506,4.409627896867041e-15,0.016822454079962676,0.024873707231208672
flipout,head1,image_type,1.2331641180980115,2.0,18.389598433324615,1.1328621474900961e-08,0.006763969741684352,0.01015220494212279
flipout,head1,sex,0.032584907388187596,1.0,0.9718468986594632,0.32428650791111147,0.0001787299227853224,0.0002709379778098159
flipout,head1,anatom_site_general,1.2148531166920888,7.0,5.176152872243061,7.012711560668155e-06,0.006663532940424978,0.010002964857433676
flipout,head1,age_approx,0.0020955510513307146,1.0,0.062499941029650036,0.8026017601034047,1.1494207214865799e-05,1.7428569923328945e-05
flipout,head1,Model (total),62.07921510613022,30.0,99.86380990692683,0.0,0.4551737020457314,0.4551737020457314
flipout,head2,diagnosis_1,0.22845228165903603,1.0,1.9063283616554052,0.1674577269506768,0.0003931119135366609,0.0005313205494207791
flipout,head2,diagnosis_2,4.371302358563558,4.0,9.119122824015001,2.507516983732934e-07,0.007521969237264874,0.010069490135741183
flipout,head2,diagnosis_confirm_type,114.59723553956502,4.0,239.06519852844806,3.202294802893147e-182,0.19719452229505888,0.21052529510260348
flipout,head2,attribution,15.263027219992095,10.0,12.736288498801486,4.252313227461232e-22,0.02626403112825252,0.034298529104953325
flipout,head2,image_type,6.506081323100448,2.0,27.145115950240147,1.9923925259390172e-12,0.01119541490229623,0.014913709743450066
flipout,head2,sex,0.08124799950879422,1.0,0.6779768828159245,0.4103390029588514,0.0001398084375694589,0.00018902641586049344
flipout,head2,anatom_site_general,8.876293586995775,7.0,10.581222031756877,3.078532617076433e-13,0.015273985148044962,0.02023693084569462
flipout,head2,age_approx,1.4721138995386058,1.0,12.28410790164932,0.0004624228355145105,0.002533157068027241,0.003413879375081595
flipout,head2,Model (total),151.39575420892334,30.0,64.36767849894805,6.26746914535014e-308,0.35001263917814485,0.35001263917814485
