method,head,coverage,error_rate
dropconnect,head1,0.7640202702702703,0.01746628344019452
dropconnect,head1,0.7589527027027027,0.01713776986423321
dropconnect,head1,0.7538851351351351,0.017028904324445482
dropconnect,head1,0.7488175675675676,0.016692984434919955
dropconnect,head1,0.7439189189189189,0.015894641235240647
dropconnect,head1,0.7388513513513514,0.015089163237311354
dropconnect,head1,0.7337837837837838,0.014963167587476955
dropconnect,head1,0.7287162162162162,0.014603616133518793
dropconnect,head1,0.7238175675675675,0.01446907817969667
dropconnect,head1,0.71875,0.014101057579318454
dropconnect,head1,0.7136824324324325,0.01396449704142011
dropconnect,head1,0.7086148648648649,0.013110846245530383
dropconnect,head1,0.7037162162162162,0.012722035525684072
dropconnect,head1,0.6986486486486486,0.012572533849129597
dropconnect,head1,0.6935810810810811,0.011933755479785702
dropconnect,head1,0.6885135135135135,0.011285574092247286
dropconnect,head1,0.6836148648648649,0.01136644427971334
dropconnect,head1,0.6785472972972973,0.011202389843166571
dropconnect,head1,0.6734797297297297,0.010785051417105618
dropconnect,head1,0.6684121621621621,0.010866818296689451
dropconnect,head1,0.6635135135135135,0.01069246435845217
dropconnect,head1,0.658445945945946,0.010774756285274467
dropconnect,head1,0.6533783783783784,0.010599793174767336
dropconnect,head1,0.6483108108108108,0.010422094841063045
dropconnect,head1,0.6434121621621621,0.01050144394854291
dropconnect,head1,0.6383445945945946,0.010584810796506972
dropconnect,head1,0.633277027027027,0.01013603627634041
dropconnect,head1,0.6282094594594595,0.009948910997579996
dropconnect,head1,0.6233108108108109,0.009485094850948506
dropconnect,head1,0.6182432432432432,0.0095628415300546
dropconnect,head1,0.6131756756756757,0.009641873278236957
dropconnect,head1,0.6081081081081081,0.009722222222222188
dropconnect,head1,0.6032094594594595,0.009801176141136958
dropconnect,head1,0.5981418918918919,0.009884213499011585
dropconnect,head1,0.5930743243243243,0.009399031614924502
dropconnect,head1,0.5881756756756756,0.009190120620333087
dropconnect,head1,0.5831081081081081,0.009269988412514474
dropconnect,head1,0.5780405405405405,0.008766803039158333
dropconnect,head1,0.572972972972973,0.008844339622641528
dropconnect,head1,0.5680743243243244,0.008623253047873924
dropconnect,head1,0.5630067567567567,0.008700870087008705
dropconnect,head1,0.5579391891891892,0.008477141992128345
dropconnect,head1,0.5528716216216216,0.0076382523678582
dropconnect,head1,0.547972972972973,0.007398273736128225
dropconnect,head1,0.5429054054054054,0.007467330429371533
dropconnect,head1,0.5378378378378378,0.007223618090452244
dropconnect,head1,0.5327702702702702,0.00665821179454662
dropconnect,head1,0.5278716216216216,0.006719999999999948
dropconnect,head1,0.5228040540540541,0.006785137318255252
dropconnect,head1,0.5177364864864865,0.006851549755301778
dropconnect,head1,0.512668918918919,0.00626029654036242
dropconnect,head1,0.5077702702702702,0.005655355954757191
dropconnect,head1,0.5027027027027027,0.005376344086021501
dropconnect,head1,0.49763513513513513,0.005091649694501044
dropconnect,head1,0.4925675675675676,0.005144032921810648
dropconnect,head1,0.4876689189189189,0.005195704883962593
dropconnect,head1,0.48260135135135135,0.004900245012250615
dropconnect,head1,0.4775337837837838,0.004952246197382437
dropconnect,head1,0.4724662162162162,0.005005362888809484
dropconnect,head1,0.46756756756756757,0.004696531791907543
dropconnect,head1,0.4625,0.0047479912344776665
dropconnect,head1,0.4574324324324324,0.004800590841949726
dropconnect,head1,0.4523648648648649,0.00410754294249438
dropconnect,head1,0.44746621621621624,0.004152510381275953
dropconnect,head1,0.44239864864864864,0.004200076365024841
dropconnect,head1,0.4373310810810811,0.004248744689069106
dropconnect,head1,0.4322635135135135,0.00429855412270419
dropconnect,head1,0.42736486486486486,0.004347826086956497
dropconnect,head1,0.4222972972972973,0.0043999999999999595
dropconnect,head1,0.4172297297297297,0.004048582995951455
dropconnect,head1,0.41216216216216217,0.004098360655737654
dropconnect,head1,0.40726351351351353,0.004147656574035707
dropconnect,head1,0.40219594594594593,0.004199916001680015
dropconnect,head1,0.3971283783783784,0.004253509145044632
dropconnect,head1,0.39222972972972975,0.004306632213608941
dropconnect,head1,0.38716216216216215,0.003490401396160525
dropconnect,head1,0.3820945945945946,0.0035366931918655586
dropconnect,head1,0.377027027027027,0.0035842293906810374
dropconnect,head1,0.37212837837837837,0.0031774852473899218
dropconnect,head1,0.3670608108108108,0.00322135296824666
dropconnect,head1,0.3619932432432432,0.003266448903406438
dropconnect,head1,0.3569256756756757,0.003312825366777128
dropconnect,head1,0.35202702702702704,0.0033589251439539725
dropconnect,head1,0.34695945945945944,0.003407984420642607
dropconnect,head1,0.3418918918918919,0.0034584980237154506
dropconnect,head1,0.3368243243243243,0.0030090270812437314
dropconnect,head1,0.33192567567567566,0.003053435114503844
dropconnect,head1,0.3268581081081081,0.0031007751937984773
dropconnect,head1,0.3217905405405405,0.0031496062992125706
dropconnect,head1,0.31672297297297297,0.0031999999999999806
dropconnect,head1,0.31182432432432433,0.00325027085590468
dropconnect,head1,0.30675675675675673,0.0033039647577092213
dropconnect,head1,0.3016891891891892,0.0027995520716684874
dropconnect,head1,0.29662162162162165,0.0028473804100227484
dropconnect,head1,0.29172297297297295,0.0028951939779965352
dropconnect,head1,0.2866554054054054,0.0029463759575721893
dropconnect,head1,0.28158783783783786,0.002399520095980767
dropconnect,head1,0.27652027027027026,0.0024434941967013124
dropconnect,head1,0.2716216216216216,0.0024875621890547706
dropconnect,head1,0.2665540540540541,0.0025348542458808465
dropconnect,head1,0.2614864864864865,0.0025839793281653423
dropconnect,head1,0.25641891891891894,0.0019762845849802257
dropconnect,head1,0.2515202702702703,0.002014775016789816
dropconnect,head1,0.2464527027027027,0.0020562028786840214
dropconnect,head1,0.24138513513513513,0.0020993701889433503
dropconnect,head1,0.23631756756756755,0.0021443888491780028
dropconnect,head1,0.23141891891891891,0.0021897810218978186
dropconnect,head1,0.22635135135135134,0.002238805970149249
dropconnect,head1,0.22128378378378377,0.0022900763358778553
dropconnect,head1,0.21621621621621623,0.002343749999999978
dropconnect,head1,0.21131756756756756,0.0023980815347721673
dropconnect,head1,0.20625,0.002457002457002422
dropconnect,head1,0.20118243243243245,0.0025188916876573986
dropconnect,head1,0.19628378378378378,0.002581755593803803
dropconnect,head1,0.1912162162162162,0.0026501766784452485
dropconnect,head1,0.18614864864864866,0.0027223230490017736
dropconnect,head1,0.1810810810810811,0.001865671641791078
dropconnect,head1,0.17618243243243242,0.0019175455417066445
dropconnect,head1,0.17111486486486485,0.001974333662388972
dropconnect,head1,0.1660472972972973,0.0020345879959308144
dropconnect,head1,0.16097972972972974,0.0020986358866736943
dropconnect,head1,0.15608108108108107,0.0021645021645021467
dropconnect,head1,0.15101351351351353,0.0022371364653244186
dropconnect,head1,0.14594594594594595,0.0023148148148147696
dropconnect,head1,0.14087837837837838,0.0023980815347721673
dropconnect,head1,0.13597972972972974,0.00248447204968949
dropconnect,head1,0.13091216216216217,0.002580645161290307
dropconnect,head1,0.1258445945945946,0.0026845637583892135
dropconnect,head1,0.12077702702702703,0.002797202797202747
dropconnect,head1,0.11587837837837837,0.002915451895043719
dropconnect,head1,0.11081081081081082,0.0030487804878048808
dropconnect,head1,0.10574324324324325,0.0031948881789137795
dropconnect,head1,0.10067567567567567,0.003355704697986628
dropconnect,head1,0.09577702702702702,0.003527336860670194
dropconnect,head1,0.09070945945945946,0.003724394785847296
dropconnect,head1,0.08564189189189189,0.0039447731755424265
dropconnect,head1,0.08057432432432432,0.004192872117400381
dropconnect,head1,0.07567567567567568,0.004464285714285698
dropconnect,head1,0.07060810810810811,0.004784688995215336
dropconnect,head1,0.06554054054054054,0.005154639175257714
dropconnect,head1,0.06047297297297297,0.005586592178770999
dropconnect,head1,0.055574324324324326,0.006079027355623046
dropconnect,head1,0.050506756756756754,0.006688963210702337
dropconnect,head1,0.04543918918918919,0.0074349442379182396
dropconnect,head1,0.04037162162162162,0.008368200836820106
dropconnect,head1,0.03547297297297297,0.00952380952380949
dropconnect,head1,0.030405405405405407,0.005555555555555536
dropconnect,head1,0.02533783783783784,0.00666666666666671
dropconnect,head1,0.02027027027027027,0.008333333333333304
dropconnect,head1,0.015371621621621622,0.01098901098901095
dropconnect,head1,0.010304054054054055,0.0
dropconnect,head1,0.005236486486486487,0.0
dropconnect,head1,0.00016891891891891893,0.0
dropconnect,head2,1.0,0.09763513513513511
dropconnect,head2,0.9951013513513514,0.09523001188253266
dropconnect,head2,0.9900337837837838,0.0923050673946425
dropconnect,head2,0.9849662162162162,0.09037900874635574
dropconnect,head2,0.9800675675675675,0.08859014133057563
dropconnect,head2,0.975,0.08731808731808732
dropconnect,head2,0.9699324324324324,0.08411703239289448
dropconnect,head2,0.9648648648648649,0.08210784313725494
dropconnect,head2,0.9599662162162163,0.07988738342424773
dropconnect,head2,0.9548986486486486,0.07818857243941268
dropconnect,head2,0.949831081081081,0.07647163435888316
dropconnect,head2,0.9447635135135135,0.07473627748971934
dropconnect,head2,0.9398648648648649,0.07242990654205606
dropconnect,head2,0.9347972972972973,0.07029273581496209
dropconnect,head2,0.9297297297297298,0.06849563953488369
dropconnect,head2,0.9246621621621621,0.06649616368286448
dropconnect,head2,0.9197635135135135,0.06483011937557392
dropconnect,head2,0.9146959459459459,0.06223453370267773
dropconnect,head2,0.9096283783783784,0.060352831940575724
dropconnect,head2,0.9045608108108109,0.05957049486461252
dropconnect,head2,0.8996621621621622,0.058205031918888483
dropconnect,head2,0.8945945945945946,0.0558912386706949
dropconnect,head2,0.889527027027027,0.05431067223699204
dropconnect,head2,0.8844594594594595,0.05233002291825817
dropconnect,head2,0.8795608108108108,0.05089302861532552
dropconnect,head2,0.8744932432432433,0.05002897430944564
dropconnect,head2,0.8694256756756756,0.048571983679813524
dropconnect,head2,0.8643581081081081,0.0474887629470393
dropconnect,head2,0.8594594594594595,0.04599056603773588
dropconnect,head2,0.8543918918918919,0.04448398576512458
dropconnect,head2,0.8493243243243244,0.04375497215592683
dropconnect,head2,0.8442567567567567,0.04301720688275312
dropconnect,head2,0.8393581081081081,0.04165828134433491
dropconnect,head2,0.8342905405405405,0.04110143753796314
dropconnect,head2,0.829222972972973,0.039315542880423715
dropconnect,head2,0.8241554054054054,0.03791760606681693
dropconnect,head2,0.8192567567567568,0.03711340206185565
dropconnect,head2,0.8141891891891891,0.0358921161825726
dropconnect,head2,0.8091216216216216,0.034864300626304856
dropconnect,head2,0.8040540540540541,0.03361344537815125
dropconnect,head2,0.7991554054054054,0.032551257662227884
dropconnect,head2,0.7940878378378379,0.03233354605403105
dropconnect,head2,0.7890202702702702,0.03125669021622779
dropconnect,head2,0.7841216216216216,0.029943989659629522
dropconnect,head2,0.779054054054054,0.029271465741543823
dropconnect,head2,0.7739864864864865,0.028153644696639057
dropconnect,head2,0.768918918918919,0.027021089630931416
dropconnect,head2,0.7640202702702703,0.025204510280787074
dropconnect,head2,0.7589527027027027,0.025150233696861757
dropconnect,head2,0.7538851351351351,0.024871162894913756
dropconnect,head2,0.7488175675675676,0.024362734040153433
dropconnect,head2,0.7439189189189189,0.024069028156221584
dropconnect,head2,0.7388513513513514,0.02400548696844995
dropconnect,head2,0.7337837837837838,0.023710865561694328
dropconnect,head2,0.7287162162162162,0.023412146499768194
dropconnect,head2,0.7238175675675675,0.02240373395565931
dropconnect,head2,0.71875,0.021621621621621623
dropconnect,head2,0.7136824324324325,0.021538461538461506
dropconnect,head2,0.7086148648648649,0.020738974970202606
dropconnect,head2,0.7037162162162162,0.0201632261161786
dropconnect,head2,0.6986486486486486,0.019584139264990363
dropconnect,head2,0.6935810810810811,0.018996590355577214
dropconnect,head2,0.6885135135135135,0.018400392541707555
dropconnect,head2,0.6836148648648649,0.018285149493451947
dropconnect,head2,0.6785472972972973,0.01842170774209606
dropconnect,head2,0.6734797297297297,0.017557060446451
dropconnect,head2,0.6684121621621621,0.01743745261561791
dropconnect,head2,0.6635135135135135,0.01731160896130346
dropconnect,head2,0.658445945945946,0.017444843509492047
dropconnect,head2,0.6533783783783784,0.016804550155118947
dropconnect,head2,0.6483108108108108,0.016675351745700895
dropconnect,head2,0.6434121621621621,0.014964557626673702
dropconnect,head2,0.6383445945945946,0.015083355385022479
