run_type,head,term,SS,df,F,p_value,eta_sq,partial_eta_sq
dropconnect,head2,fitzpatrick_skin_type,0.07055372662440355,5.0,0.8165249047313926,0.5379770308978331,0.00467836097745658,0.005102753638835269
dropconnect,head2,age_approx,0.06050558594231412,1.0,3.501184144408954,0.06169160723594147,0.004012076834687835,0.00437921070517959
dropconnect,head2,Model (total),1.3248192763234865,24.0,7.307187573271303,3.4066803777658766e-22,0.1805409371183846,0.1805409371183846
dropout,head1,diagnosis_1,0.23902494066587612,1.0,14.281970819180959,0.00016911298486705953,0.016199312149438778,0.01762592694089211
dropout,head1,diagnosis_2,0.6558453196855656,4.0,9.79684765484274,9.711753613074715e-08,0.04444826144810623,0.04692047684090367
dropout,head1,diagnosis_confirm_type,0.17243946739772606,2.0,5.151712274435933,0.0059840639920486745,0.01168664973402723,0.012778594552834316
dropout,head1,attribution,0.12071313797812995,3.0,2.4042421532701908,0.06623660344561537,0.008181028294363126,0.008979845839346853
dropout,head1,image_type,0.0019136483952179267,1.0,0.11434233792731867,0.7353427529276599,0.00012969269069599396,0.00014362552192130168
dropout,head1,sex,0.004218777830906386,1.0,0.25207604572878933,0.6157558971139088,0.0002859170209669312,0.00031657819591582775
dropout,head1,anatom_site_general,0.18682313274589374,7.0,1.594694632996242,0.13346725575410368,0.012661466354330228,0.013829752272489261
dropout,head1,fitzpatrick_skin_type,0.04792378944987484,5.0,0.5726985314260121,0.7209840923029928,0.003247913889319646,0.0035844580249945954
dropout,head1,age_approx,0.004389643726487873,1.0,0.2622854478434382,0.6086964113321711,0.00029749702584218427,0.00032939579412067776
dropout,head1,Model (total),1.4332918578756786,24.0,10.095895233108275,1.6778232264621825e-32,0.2333633236167827,0.2333633236167827
dropout,head2,diagnosis_1,0.7308285779195128,1.0,23.908528512336105,1.2223253125775683e-06,0.026379398389371585,0.029159994902987988
dropout,head2,diagnosis_2,1.1422281605013502,4.0,9.34179210009879,2.2168401439623911e-07,0.041228945621147546,0.04483878153265804
dropout,head2,diagnosis_confirm_type,1.0182956907035783,2.0,16.656403629208338,8.193864330982057e-08,0.0367555792354474,0.040169170145272215
dropout,head2,attribution,0.14403768461988278,3.0,1.5706962360397305,0.19503518780163318,0.00519906799004377,0.005884872695904648
dropout,head2,image_type,0.005697624149897337,1.0,0.18639365448486542,0.6660521631510936,0.0002056568419244262,0.00023410806309979887
dropout,head2,sex,0.0504015719845205,1.0,1.6488509853964417,0.19948900788651236,0.0018192544558331197,0.00206713892129286
dropout,head2,anatom_site_general,0.09743460779634845,7.0,0.4553575350673187,0.8667774853690275,0.003516920949217606,0.003988429166523642
dropout,head2,fitzpatrick_skin_type,0.12997259855701282,5.0,0.8503919174230713,0.5142031460415456,0.004691385997517601,0.005313276070338055
dropout,head2,age_approx,0.05373953752581786,1.0,1.7580501146156229,0.18524826679398607,0.001939738965448964,0.0022037384823168377
dropout,head2,Model (total),3.3726360537579225,24.0,14.192976798427654,5.857527615657403e-47,0.29968504321381484,0.29968504321381484
duq,head1,diagnosis_1,0.03351038874760694,1.0,1.627233809590729,0.20245821033724198,0.0017284387691929534,0.002040093091880538
duq,head1,diagnosis_2,0.28258414611458266,4.0,3.4305068800851584,0.008603958694320697,0.014575461877881406,0.016946590377888576
duq,head1,diagnosis_confirm_type,1.4389297552333693,2.0,34.93655601815514,2.86159379680062e-15,0.07421883386143328,0.0806967107131745
duq,head1,attribution,0.827157919419881,3.0,13.388677189914466,1.566666249628593e-08,0.04266413699161879,0.048035952255007626
duq,head1,image_type,0.007579883204368573,1.0,0.3680721914566949,0.5442299594363968,0.00039096424977525093,0.0004621885335556318
duq,head1,sex,0.02559372952201389,1.0,1.2428080827536052,0.2652670216303664,0.0013201038844184144,0.0015588827771834876
duq,head1,anatom_site_general,0.31087878219306025,7.0,2.1565698790948633,0.03598046697314834,0.01603487633966496,0.01861184046713868
duq,head1,fitzpatrick_skin_type,0.05374815394438407,5.0,0.5219922332750309,0.7597545389141069,0.0027722863422961286,0.003268129992472532
duq,head1,age_approx,0.01527926430532877,1.0,0.7419470914099527,0.38929725925586034,0.0007880921044809496,0.0009312263451403663
duq,head1,Model (total),2.995262022684596,24.0,17.266250883168553,3.394997248672415e-57,0.342360738224334,0.342360738224334
duq,head2,diagnosis_1,0.03800526910390977,1.0,0.7121837283720571,0.3989733578133594,0.0008057909350446425,0.0008939033981371449
duq,head2,diagnosis_2,0.07759134814525585,4.0,0.36349759463890924,0.834671673233949,0.0016450983362964308,0.0018232906175131432
duq,head2,diagnosis_confirm_type,1.710869625521544,2.0,16.030060270473008,1.4954672501242758e-07,0.03627400273154912,0.03871714111772721
duq,head2,attribution,0.1377191965899673,3.0,0.8602436206734394,0.4613288668530615,0.002919934072573385,0.003231646798232375
duq,head2,image_type,0.1849030625937304,1.0,3.46491303996234,0.06305221495698483,0.003920330396626306,0.004334040160420575
duq,head2,sex,0.004404818573228857,1.0,0.08254224185882403,0.773956128841821,9.339133653072728e-05,0.00010368553193790145
duq,head2,anatom_site_general,0.39010947078863634,7.0,1.0443274386878543,0.3983519468488878,0.008271134046626384,0.009100209648715106
duq,head2,fitzpatrick_skin_type,2.1126914907190075,5.0,7.91797841844722,2.7172393273669687e-07,0.044793463956612184,0.04737957276279018
duq,head2,age_approx,0.03080349671575619,1.0,0.577229148883117,0.4476254081181368,0.000653098346794242,0.0007246367681133287
duq,head2,Model (total),4.687097778751038,24.0,9.265425710324026,1.8254064162937256e-29,0.21835891635992744,0.21835891635992744
ensemble,head1,diagnosis_1,0.1724537817283029,1.0,9.681613035373697,0.001927663960594947,0.008382745908966194,0.012016673681925794
ensemble,head1,diagnosis_2,0.36734117018471635,4.0,5.155664065536257,0.0004190566488413553,0.017855959206578596,0.025253593081214887
ensemble,head1,diagnosis_confirm_type,4.4507194187751615,2.0,124.93243902732156,6.488145242084764e-48,0.2163434725860276,0.23890741844147526
ensemble,head1,attribution,1.0867065842159023,3.0,20.3360238048144,1.0503816378236915e-12,0.052823342473489104,0.0711872775174134
ensemble,head1,image_type,0.00025984146683441696,1.0,0.014587586930381837,0.9038964977845682,1.2630543507115813e-05,1.8325778393839763e-05
ensemble,head1,sex,0.029784920603872323,1.0,1.672135413245592,0.1963479184647446,0.0014478048485730398,0.0020962690546778573
ensemble,head1,anatom_site_general,0.24512145474917013,7.0,1.9658857891958947,0.05704951629840655,0.011915023558229215,0.016994146565012032
ensemble,head1,fitzpatrick_skin_type,0.018444687975483112,5.0,0.2070981914657896,0.9595461298619237,0.0008965714240597801,0.0012991779777399965
ensemble,head1,age_approx,0.022883232357561668,1.0,1.2846723247478327,0.25737335439380643,0.0011123230845206274,0.0016113094473545373
ensemble,head1,Model (total),6.393715092057004,24.0,36.090217235251956,5.0266243425662625e-110,0.5211065702344161,0.5211065702344161
ensemble,head2,diagnosis_1,0.17740246963361364,1.0,3.8134883078525843,0.05119156916516416,0.0034635189364138606,0.004767971987970215
ensemble,head2,diagnosis_2,0.8259651445675622,4.0,4.438788856783413,0.0014891438515970783,0.016125738976102276,0.02181879316981299
ensemble,head2,diagnosis_confirm_type,12.233041580420965,2.0,131.4822762410142,4.57714479795821e-50,0.23883191283205307,0.24832233700900122
ensemble,head2,attribution,0.5313052863868796,3.0,3.8070242233590084,0.0099900359373224,0.010372944211082586,0.014145125829213807
ensemble,head2,image_type,0.000971241486324232,1.0,0.020878052373499975,0.8851482357898823,1.8962043125229064e-05,2.622802108480165e-05
ensemble,head2,sex,0.008374644594813812,1.0,0.18002347605814878,0.6714677103716595,0.00016350245968829347,0.00022610900895526204
ensemble,head2,anatom_site_general,0.2423607448016307,7.0,0.7442639717895052,0.6344555377140764,0.004731732488265002,0.006502475995290816
ensemble,head2,fitzpatrick_skin_type,0.08757959516874149,5.0,0.3765266209340033,0.8649584001314103,0.0017098611250275478,0.002359536386127913
ensemble,head2,age_approx,0.0835866733827568,1.0,1.7968002491496256,0.18048225551173852,0.0016319052755631104,0.002252202877460138
ensemble,head2,Model (total),14.19058738044329,24.0,33.80915597641611,2.182671212317265e-104,0.5047964271612855,0.5047964271612855
flipout,head1,diagnosis_1,0.8622852907450687,1.0,33.97722859276241,8.098781074566739e-09,0.029744848709737533,0.04093754313039559
flipout,head1,diagnosis_2,1.4010822649064336,4.0,13.8019553687555,6.879939061317027e-11,0.0483308487884891,0.06485821685631918
flipout,head1,diagnosis_confirm_type,5.082318418322001,2.0,100.13106829836113,1.624419454622266e-39,0.17531644581003775,0.20101349759293977
flipout,head1,attribution,0.1368498320232474,3.0,1.7974631193957142,0.14614691102514737,0.00472068536153186,0.006728775353738706
flipout,head1,image_type,0.009647807315253321,1.0,0.38015927917086784,0.5376942976175425,0.00033280466691591916,0.00047735905363961115
flipout,head1,sex,0.009054607388777626,1.0,0.356785008822757,0.550467072372091,0.0003123420169588488,0.00044802155960635686
flipout,head1,anatom_site_general,0.6224052277234048,7.0,3.503581028338513,0.0010377972484876795,0.02147009758079686,0.02988947952816221
flipout,head1,fitzpatrick_skin_type,0.5855922507731537,5.0,4.614899959496609,0.0003703828189657263,0.020200220381576484,0.028171429831093792
flipout,head1,age_approx,0.07901341051035063,1.0,3.113420511306933,0.0780332076863637,0.0027255966985590217,0.00389609338473484
flipout,head1,Model (total),8.788249109707689,24.0,30.52754007981228,5.972077947965673e-96,0.4792828365273559,0.4792828365273559
flipout,head2,diagnosis_1,1.7264531498705413,1.0,13.55739592579517,0.00024699845971434283,0.014162028514712596,0.016746676633459915
flipout,head2,diagnosis_2,1.9663161693085103,4.0,3.86024474869291,0.004095455741898227,0.016129615599922698,0.019029084547714382
flipout,head2,diagnosis_confirm_type,9.251042569354349,2.0,36.32303802988427,8.015706797048131e-16,0.07588594493157283,0.08363138689268657
flipout,head2,attribution,1.2274712031261132,3.0,3.213006019410512,0.022422250927303915,0.010068898875688632,0.011964437970573599
flipout,head2,image_type,0.6338088731987286,1.0,4.977139307766101,0.02596227438937754,0.005199109709864599,0.006213834407393359
flipout,head2,sex,0.005444339292252454,1.0,0.04275300684815266,0.836243924759999,4.465970496009755e-05,5.370692300968019e-05
flipout,head2,anatom_site_general,1.3436364960462301,7.0,1.5073192076411364,0.16122950009146816,0.011021798287339622,0.013081914703952289
flipout,head2,fitzpatrick_skin_type,3.6680308970693165,5.0,5.76082208119546,3.111386243312815e-05,0.030088715793439125,0.034922365253247364
flipout,head2,age_approx,0.7191585312166119,1.0,5.647368387522148,0.017717202858410348,0.005899229658477666,0.007044703956156654
flipout,head2,Model (total),20.541362228482654,24.0,18.768414330431135,5.176501881118052e-62,0.36138220967595946,0.36138220967595946
