model,isic_id,head1_entropy_original,head1_entropy_black,head1_entropy_diff_black,head2_entropy_original,head2_entropy_black,head2_entropy_diff_black
flipout,ISIC_2392633,0.659117836696682,0.2942086787744209,-0.3649091579222611,0.7204803785067229,0.5008769661879885,-0.21960341231873437
flipout,ISIC_3097354,0.6062768241668682,0.5265811954203573,-0.07969562874651093,0.6410002039185563,0.958749632989186,0.31774942907062975
flipout,ISIC_4814164,0.44051035474640116,0.4494637140300209,0.008953359283619733,0.925356070109719,0.711411300976238,-0.21394476913348104
flipout,ISIC_6586433,0.6626915519614694,0.5499360760716347,-0.1127554758898347,0.9071113923255624,0.753592726385641,-0.15351866593992136
flipout,ISIC_6945634,0.5632952207332454,0.4531586837080206,-0.11013653702522486,0.8561415463787436,0.7219173074400453,-0.13422423893869828
flipout,ISIC_6965881,0.6608881699934853,0.5943549347494277,-0.06653323524405763,0.8836649064801505,0.8133102067851775,-0.07035469969497299
flipout,ISIC_7418664,0.677786980396891,0.6195583463230492,-0.05822863407384182,0.84528265033506,0.9079369552644575,0.0626543049293975
flipout,ISIC_7576704,0.5515469438444409,0.6924296948229299,0.140882750978489,0.45921212758949553,0.6799428422356233,0.22073071464612776
flipout,ISIC_8006211,0.691159079723846,0.6230201712560084,-0.06813890846783766,0.6671347262873173,0.49247684531491437,-0.17465788097240292
flipout,ISIC_8184620,0.46828432401239,0.11929683512555946,-0.34898748888683057,0.9303471246511583,0.2604763825496025,-0.6698707421015558
flipout,ISIC_8546532,0.5773085789500368,0.5129299620048873,-0.06437861694514957,1.0356652293143205,1.002757894768377,-0.03290733454594341
flipout,ISIC_8778158,0.6485727599528831,0.39124025827907816,-0.25733250167380495,0.7318997410861086,0.6246080518782096,-0.107291689207899
flipout,ISIC_9543045,0.6914544445786761,0.6925701102111399,0.0011156656324637915,0.7614057579179544,0.7567148397272289,-0.004690918190725535
duq,ISIC_1049431,0.01417417414306629,0.0025420325063928552,-0.011632141636673435,0.332758030738272,0.12482231852624211,-0.2079357122120299
duq,ISIC_1151359,0.0033153684883110313,0.0001573010057403959,-0.0031580674825706354,0.5471767912934968,0.12847700479894386,-0.418699786494553
duq,ISIC_1727295,0.29263217625157817,0.3124497849920947,0.019817608740516524,0.07531082091617529,0.04427091326344906,-0.031039907652726226
duq,ISIC_2392633,0.6081108199220471,0.029650354601863306,-0.5784604653201838,0.8013584638959818,0.5855320059451332,-0.21582645795084854
duq,ISIC_3097354,0.640159254925259,0.6921788299342744,0.05201957500901533,0.6343734110876552,0.863434361761274,0.22906095067361876
duq,ISIC_4814164,0.1522763748097349,0.029995177933999626,-0.12228119687573528,0.6038448750286329,0.12094764381935494,-0.48289723120927797
duq,ISIC_6586433,0.57121699052341,0.5589360930291754,-0.012280897494234666,0.1408272071621685,0.6919668723299245,0.551139665167756
duq,ISIC_6945634,0.20114772801332642,0.26087480181529965,0.05972707380197323,0.6727912848383479,0.5193365130880555,-0.15345477175029243
duq,ISIC_6965881,0.6664798300653048,0.6855685706513946,0.019088740586089892,0.41265467444304077,0.6354568786495803,0.22280220420653957
duq,ISIC_7418664,0.6137921982447507,0.25721834602934207,-0.35657385221540866,0.7181203545830773,0.6869341165890519,-0.031186237994025423
duq,ISIC_7576704,0.6763625370576594,0.5792756002256509,-0.09708693683200842,0.30763345975869044,0.27651267575621286,-0.031120784002477586
duq,ISIC_8006211,0.5422666720028277,0.6900454613827558,0.14777878937992805,0.6283321666197894,0.5603455324730751,-0.06798663414671435
duq,ISIC_8184620,0.00019613630770424882,0.00019869775018332858,2.561442479079762e-06,0.012200326388571388,0.001463157973935375,-0.010737168414636013
